Date,True,MA_filtered,EMA_filtered,bilateral_filtered
2000-07-03,1461.1424865722656,415525.72064208984,1436.832712656551,1430.434731795295
2000-07-05,1456.9400024414062,415625.0056152344,1437.2308768107064,1430.2047251491713
2000-07-06,1451.0275268554688,415729.2081298828,1437.5040778016917,1429.9752959048108
2000-07-07,1469.0900268554688,415862.19317626953,1438.1295421393902,1429.7965474550695
2000-07-10,1478.9600219726562,415997.79067993164,1438.9380664925243,1429.5741227777428
2000-07-11,1478.9375,416133.7506713867,1439.7301344827713,1429.2904388063503
2000-07-12,1488.0924987792969,416285.82568359375,1440.6878050629005,1429.0115904169343
2000-07-13,1494.9500122070312,416443.205657959,1441.7623042142695,1428.7471685838293
2000-07-14,1502.5924987792969,416607.0256347656,1442.9668625224879,1428.4791386491288
2000-07-17,1510.7624816894531,416774.96060180664,1444.3093500307446,1428.1829591099704
2000-07-18,1501.5174865722656,416927.42556762695,1445.4421844177052,1427.780221516409
2000-07-19,1487.8125,417060.2205810547,1446.2812005678495,1427.3257216230136
2000-07-20,1490.3524780273438,417182.6880493164,1447.1538991314037,1426.917584452306
2000-07-21,1487.3099670410156,417318.6104736328,1447.9490687929801,1426.5065218751943
2000-07-24,1473.540008544922,417457.5429992676,1448.4558200751967,1426.0487712701897
2000-07-25,1469.8200073242188,417591.935546875,1448.8788732880487,1425.5884724840694
2000-07-26,1463.4450073242188,417718.17306518555,1449.1673115857946,1425.097162733314
2000-07-27,1453.0700073242188,417828.14810180664,1449.2445926895257,1424.5783073973905
2000-07-28,1435.02001953125,417929.1206359863,1448.96291797352,1424.0117228274767
2000-07-31,1426.769989013672,418037.5180969238,1448.523454033721,1423.4730698911305
2000-08-01,1435.3574829101562,418174.63806152344,1448.2627417342444,1422.9901655652184
2000-08-02,1440.469970703125,418321.9980163574,1448.1084294365985,1422.4953594693352
2000-08-03,1442.7200012207031,418472.65798950195,1448.0017278877688,1421.9576305938156
2000-08-04,1457.4325561523438,418637.9255371094,1448.1884769623148,1421.4008367367792
2000-08-07,1470.9425048828125,418814.02307128906,1448.6390517726215,1420.8092485970367
2000-08-08,1479.8125,419002.92556762695,1449.2563477771241,1420.1927398614637
2000-08-09,1479.290008544922,419184.0405578613,1449.851073732922,1419.5701078644738
2000-08-10,1467.040008544922,419337.435546875,1450.1914486796943,1418.915196748773
2000-08-11,1465.2174987792969,419471.50802612305,1450.4889942262212,1418.289423105847
2000-08-14,1480.9000244140625,419627.60806274414,1451.0911928438022,1417.7072824118845
2000-08-15,1487.9625244140625,419796.3930969238,1451.821318221431,1417.0023857674062
2000-08-16,1484.0274963378906,419972.075592041,1452.459064322747,1416.214736322566
2000-08-17,1488.7724609375,420161.77056884766,1453.1781414834352,1415.5028539580662
2000-08-18,1494.062469482422,420360.3755493164,1453.9877321368806,1414.8006097790385
2000-08-21,1496.29248046875,420556.6880187988,1454.8254499256304,1414.074627355272
2000-08-22,1500.8699951171875,420741.1679992676,1455.7372230977405,1413.3541922122195
2000-08-23,1500.2049865722656,420907.2229614258,1456.6177728695134,1412.5825706548799
2000-08-24,1506.6725158691406,421073.7104797363,1457.608955899209,1411.8552880365114
2000-08-25,1508.3299865722656,421237.4079589844,1458.6133327442199,1411.1028873673636
2000-08-28,1512.7349548339844,421407.26290893555,1459.6850480331261,1410.355988475978
2000-08-29,1511.0499877929688,421586.47286987305,1460.702175553123,1409.5685081980198
2000-08-30,1505.752471923828,421769.6328125,1461.5942606297706,1408.7711467497238
2000-08-31,1512.0174865722656,421963.4352722168,1462.592740351404,1408.064238474721
2000-09-01,1521.0175170898438,422160.54025268555,1463.7496666234524,1407.393591523181
2000-09-05,1513.207489013672,422333.07025146484,1464.7290294430609,1406.632357555412
2000-09-06,1501.0149841308594,422475.1177368164,1465.447563199255,1405.8116700682076
2000-09-07,1498.0874938964844,422598.8877258301,1466.0938984605862,1405.0342196318
2000-09-08,1497.3500061035156,422710.4952697754,1466.7128312851985,1404.2661817578503
2000-09-11,1493.3825073242188,422810.95028686523,1467.2409436820108,1403.4552010549464
2000-09-12,1486.9625244140625,422906.71032714844,1467.6314700331404,1402.6710079449065
2000-09-13,1481.989990234375,422993.64532470703,1467.915797165838,1401.911894740997
2000-09-14,1484.167510986328,423078.96279907227,1468.2376132810953,1401.210484556121
2000-09-15,1471.9649963378906,423149.9528198242,1468.3114228465763,1400.3938432576003
2000-09-18,1455.0025329589844,423210.3053588867,1468.0478804725647,1399.5352265183733
2000-09-19,1452.52001953125,423268.25283813477,1467.7403980776871,1398.7976898218349
2000-09-20,1450.6699829101562,423314.9728088379,1467.4023700545677,1398.071053373271
2000-09-21,1447.3650207519531,423348.77532958984,1467.0055908604563,1397.3370130254439
2000-09-22,1442.1750183105469,423378.12033081055,1466.5138963545173,1396.6044872060775
2000-09-25,1445.2750244140625,423431.5078430176,1466.0933246329241,1395.968467015156
2000-09-26,1434.8825073242188,423487.47033691406,1465.475288646613,1395.259246406438
2000-09-27,1427.6099548339844,423546.6977844238,1464.725480056264,1394.5393787997148
2000-09-28,1443.082489013672,423630.9727783203,1464.2969059762127,1394.0046556997895
2000-09-29,1447.3450317382812,423725.94033813477,1463.9612252982338,1393.3986369621532
2000-10-02,1437.0449829101562,423806.2253417969,1463.4282303994598,1392.6635069348101
2000-10-03,1435.6974792480469,423878.3453063965,1462.8791066142833,1391.9653594399026
2000-10-04,1429.269989013672,423956.45278930664,1462.213579533083,1391.1965665466873
2000-10-05,1436.6425170898438,424055.80529785156,1461.7072218609396,1390.5212075678896
2000-10-06,1421.4075317382812,424145.5453491211,1460.9092081951444,1389.6135683758803
2000-10-09,1403.2974853515625,424223.52529907227,1459.768382000222,1388.6745467626606
2000-10-10,1395.4324951171875,424303.4152832031,1458.494404042142,1387.8784945909824
2000-10-11,1372.0750122070312,424370.49533081055,1456.783128956298,1386.989820940221
2000-10-12,1349.3400268554688,424413.85287475586,1454.6555427760836,1386.0680134838533
2000-10-13,1351.3000183105469,424464.9628601074,1452.608898727261,1385.3559987639624
2000-10-16,1373.33251953125,424551.9003601074,1451.0390694362509,1384.8609914165756
2000-10-17,1361.97998046875,424622.20028686523,1449.2755231200626,1384.0569248458087
2000-10-18,1338.635009765625,424657.8952636719,1447.0846218655192,1383.1195677555804
2000-10-19,1365.7375183105469,424710.70275878906,1445.4737881317574,1382.5656866486588
2000-10-20,1394.0874938964844,424777.28771972656,1444.456237750861,1381.9478513980255
2000-10-23,1396.855010986328,424837.1802062988,1443.5136392010681,1381.0743425285639
2000-10-24,1399.4200134277344,424898.27770996094,1442.6404980966458,1380.172301012971
2000-10-25,1380.8424987792969,424952.9652404785,1441.4167753378865,1379.039268635308
2000-10-26,1359.9674987792969,424982.8327636719,1439.80391837633,1377.8661347231684
2000-10-27,1373.1799621582031,425007.5927429199,1438.4846321145849,1377.0083043490647
2000-10-30,1390.364990234375,425035.29025268555,1437.5317679189372,1376.1960444267445
2000-10-31,1414.7350158691406,425078.192779541,1437.080347086268,1375.4593598166
2000-11-01,1422.66748046875,425129.0802307129,1436.794943786911,1374.5743255229472
2000-11-02,1426.0399780273438,425199.3052062988,1436.5819741679097,1373.6460470769737
2000-11-03,1427.2849731445312,425290.14266967773,1436.397875137744,1372.6860917600281
2000-11-06,1431.782470703125,425400.76013183594,1436.3064809905236,1371.7502334677597
2000-11-07,1430.8849792480469,425505.88259887695,1436.1991245203756,1370.7543482170793
2000-11-08,1421.8025207519531,425606.1526489258,1435.9140432576344,1369.6467008753284
2000-11-09,1397.0950317382812,425664.9476928711,1435.1453499602214,1368.3749849862602
2000-11-10,1383.0574951171875,425693.33770751953,1434.1139072900623,1367.1862595563907
2000-11-13,1352.959991455078,425699.5126953125,1432.5068990557063,1365.839482468324
2000-11-14,1368.8825073242188,425725.05017089844,1431.2470101105282,1364.9754187769508
2000-11-15,1385.8674926757812,425760.1326599121,1430.3484058048896,1364.1440216489768
2000-11-16,1381.8200073242188,425794.6651611328,1429.3874474191337,1363.136738533485
2000-11-17,1370.1099853515625,425825.9726257324,1428.2136362890826,1362.1319991773776
2000-11-20,1354.9324951171875,425851.04513549805,1426.7625245827085,1361.1121052699864
2000-11-21,1344.864990234375,425881.17764282227,1425.1407912292761,1360.0831704743791
2000-11-22,1334.7374877929688,425888.42263793945,1423.3506268047947,1359.0384391435757
2000-11-24,1332.5799865722656,425886.0176086426,1421.5531883843487,1358.0851521799518
2000-11-27,1348.7525024414062,425914.6201171875,1420.1115906429043,1357.3248430411284
2000-11-28,1344.709991455078,425951.3100891113,1418.6184896688878,1356.3078559000332
2000-11-29,1339.9200134277344,425995.3625793457,1417.0601040007462,1355.2260491475108
2000-11-30,1323.417510986328,426043.0850830078,1415.2057952281834,1354.0270196731888
2000-12-01,1317.9674987792969,426077.7875671387,1413.2802844074135,1352.9288037075316
2000-12-04,1320.6100158691406,426121.56756591797,1411.4452295848735,1351.8885951946763
2000-12-05,1350.760009765625,426195.43759155273,1410.2435420637,1351.1634515108603
2000-12-06,1362.6725158691406,426280.42010498047,1409.3015415449959,1350.3187068929979
2000-12-07,1346.9425048828125,426348.7450866699,1408.0667091358437,1349.203495424704
2000-12-08,1359.3300170898438,426414.3700866699,1407.1016261250318,1348.3625572652293
2000-12-11,1375.8200073242188,426487.9901123047,1406.482188128976,1347.5571791607015
2000-12-12,1375.480010986328,426550.08013916016,1405.8682836311018,1346.595838540654
2000-12-13,1368.8674926757812,426597.6426086426,1405.1355947012933,1345.5970214966999
2000-12-14,1350.3475036621094,426622.4526062012,1404.0506820074481,1344.4550168954206
2000-12-15,1324.8475341796875,426611.4451599121,1402.482302842542,1343.1735597271088
2000-12-18,1319.8399963378906,426607.4701538086,1400.845821525618,1342.079737240648
2000-12-19,1320.0499572753906,426628.9125671387,1399.245903421653,1341.0249892613615
2000-12-20,1284.2749938964844,426631.6325378418,1396.9692517478875,1339.6062366365336
2000-12-21,1269.7449951171875,426636.4674987793,1394.4499595373786,1338.429590496243
2000-12-22,1290.4099731445312,426679.53497314453,1392.3897617870252,1337.670617591504
2000-12-26,1309.6849670410156,426726.9949645996,1390.7520430791835,1336.938498498361
2000-12-27,1321.7749938964844,426773.39248657227,1389.38616091715,1336.1482343063478
2000-12-28,1331.2125244140625,426822.5849914551,1388.234207719069,1335.3284476061856
2000-12-29,1328.0274963378906,426856.19247436523,1387.0419956125108,1334.3487495447073
2001-01-02,1299.9700317382812,426860.4049987793,1385.3177983080707,1333.1110959640764
2001-01-03,1313.3025207519531,426883.49252319336,1383.8917532079495,1332.274480800435
2001-01-04,1340.0700073242188,426933.940032959,1383.0239958637171,1331.5299200239688
2001-01-05,1315.3524780273438,426929.71005249023,1381.6839658075512,1330.2183569707354
2001-01-08,1292.2124938964844,426866.67755126953,1379.9122534924804,1328.8892439796161
2001-01-09,1300.8800048828125,426807.95751953125,1378.3472584705066,1327.8928771329709
2001-01-10,1303.7775268554688,426757.33755493164,1376.870630121694,1326.8377939794948
2001-01-11,1320.499969482422,426725.15252685547,1375.7543794159658,1325.9194114033687
2001-01-12,1322.54248046875,426687.2174682617,1374.700678446714,1324.8323012627316
2001-01-16,1321.5274963378906,426637.997467041,1373.6477441475292,1323.7140822233391
2001-01-17,1332.1125183105469,426596.63748168945,1372.825264427985,1322.7326431769911
2001-01-18,1339.4949951171875,426564.2449645996,1372.165259095098,1321.7038124434046
2001-01-19,1345.4500122070312,426540.2199707031,1371.6362443052353,1320.642147060354
2001-01-22,1343.2250061035156,426506.13751220703,1371.0736455289637,1319.5050872314655
2001-01-23,1351.45751953125,426472.05001831055,1370.685207390395,1318.497349980794
2001-01-24,1362.9325256347656,426439.6550292969,1370.5316889397884,1317.5028291245183
2001-01-25,1360.947509765625,426393.3000488281,1370.3419032135675,1316.3382105583164
2001-01-26,1353.1799926757812,426330.25259399414,1370.0020634009381,1315.0936656232318
2001-01-29,1358.747528076172,426271.08264160156,1369.7792013152991,1313.9998098597437
2001-01-30,1367.4450073242188,426216.17266845703,1369.7329796521094,1312.9706739231915
2001-01-31,1371.9425048828125,426168.03018188477,1369.7767326269748,1311.8823677316245
2001-02-01,1368.0799865722656,426123.18768310547,1369.7431336951984,1310.683806152047
2001-02-02,1362.0099792480469,426075.04766845703,1369.5900019239677,1309.4276567198563
2001-02-05,1350.7050170898438,426006.9826965332,1369.2160418282424,1308.1174540406535
2001-02-06,1355.0400390625,425950.7177429199,1368.935328902188,1306.9420410699097
2001-02-07,1344.917510986328,425897.0652770996,1368.4597285474185,1305.553432456386
2001-02-08,1339.0924987792969,425842.6252746582,1367.8781992450795,1304.190361628344
2001-02-09,1322.4500122070312,425761.6952819824,1366.9786311849202,1302.692892201682
2001-02-12,1322.417510986328,425659.41275024414,1366.0962327651462,1301.3077896143725
2001-02-13,1325.810028076172,425557.9652709961,1365.2984861376417,1299.964010454967
2001-02-14,1315.042510986328,425455.88775634766,1364.3033183128632,1298.489960697437
2001-02-15,1322.435028076172,425370.1752624512,1363.4742432586713,1297.206187723498
2001-02-16,1311.9825134277344,425276.6852722168,1362.4546050441973,1295.7130817685652
2001-02-20,1291.5174865722656,425155.10775756836,1361.0499096289116,1294.1208058773989
2001-02-21,1267.584991455078,425006.7077636719,1359.1991191700238,1292.486885004318
2001-02-22,1249.0899658203125,424846.22772216797,1357.0187398957721,1290.9359115918874
2001-02-23,1241.7349548339844,424680.43768310547,1354.7358926668257,1289.5511734973522
2001-02-26,1255.7274780273438,424520.27517700195,1352.7753300006973,1288.4216987173932
2001-02-27,1262.6524963378906,424360.3376464844,1350.990719433117,1287.2080023562658
2001-02-28,1247.749969482422,424188.2426147461,1348.9463481469645,1285.7669171565205
2001-03-01,1234.2574768066406,423996.8025817871,1346.6752813877501,1284.3375278166784
2001-03-02,1236.540008544922,423798.6650695801,1344.4943848958128,1283.1068307532055
